14/05/15 22:26:43
the	[<http://dbpedia.org/resource/Claire-Cl%C3%A9mence_de_Maill%C3%A9-Br%C3%A9z%C3%A9>]	[<http://dbpedia.org/resource/Napoleon_II>]
police	[<http://dbpedia.org/resource/Henri-Auguste_Loz%C3%A9>]
days	[<http://dbpedia.org/resource/William_Otway_Boger>]	[<http://dbpedia.org/resource/Napoleon_II>]
information	[<http://dbpedia.org/resource/Eliane_Plewman>]
returned	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]	[<http://dbpedia.org/resource/Joseph_Callaghan>]
imperial	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]	[<http://dbpedia.org/resource/Napoleon_II>]
precolonial	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
liberal	[<http://dbpedia.org/resource/Manuel_Valls>]
illegitimate	[<http://dbpedia.org/resource/William_the_Conqueror>]
surgery	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]
leutnant	[<http://dbpedia.org/resource/Joseph_Callaghan>]
violent	[<http://dbpedia.org/resource/Daniel_Montbars>]
november	[<http://dbpedia.org/resource/%C3%89mile_Lemonnier>]	[<http://dbpedia.org/resource/Bellamy_Storer_(1847%E2%80%931922)>]	[<http://dbpedia.org/resource/Jean_Th%C3%A9veney>]	[<http://dbpedia.org/resource/Thomas_Frederick_Stephenson>]	[<http://dbpedia.org/resource/Jean-G%C3%A9rard_Lacu%C3%A9e,_count_of_Cessac>]
reports	[<http://dbpedia.org/resource/Michel_Hollard>]
odoherty	[<http://dbpedia.org/resource/Michael_O'Doherty_(publisher)>]
wardodds	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
sworn	[<http://dbpedia.org/resource/Fran%C3%A7ois_Hollande>]	[<http://dbpedia.org/resource/William_the_Conqueror>]
13751433	[<http://dbpedia.org/resource/Jean_de_Brosse>]
belonging	[<http://dbpedia.org/resource/Manuel_Valls>]
scandinavianstyle	[<http://dbpedia.org/resource/Manuel_Valls>]
possessions	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
troupes	[<http://dbpedia.org/resource/Alain_Pellegrini>]
bardon	[<http://dbpedia.org/resource/Ren%C3%A9_de_Segonzac>]
tonkina	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
contributed	[<http://dbpedia.org/resource/Louis_Archinard>]
